ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,forecast_type
2014-01-01,36006.58121110125,11627.741410556942,31314.773991056514,36006.58121110125,36006.58121110125,-0.4251136561008709,-0.4251136561008709,-0.4251136561008709,-0.4251136561008709,-0.4251136561008709,-0.4251136561008709,0.0,0.0,0.0,20699.691828757077,historical
2014-02-01,36581.80565061549,1063.774374346959,20954.491823549055,36581.80565061549,36581.80565061549,-0.695267507918262,-0.695267507918262,-0.695267507918262,-0.695267507918262,-0.695267507918262,-0.695267507918262,0.0,0.0,0.0,11147.664800761864,historical
2014-03-01,37101.36320931816,30217.754214800585,50190.72835973246,37101.36320931816,37101.36320931816,0.09268309280966038,0.09268309280966038,0.09268309280966038,0.09268309280966038,0.09268309280966038,0.09268309280966038,0.0,0.0,0.0,40540.03229901232,historical
2014-04-01,37676.5876493104,18009.300809213135,37981.03642219429,37676.5876493104,37676.5876493104,-0.25399007401853835,-0.25399007401853835,-0.25399007401853835,-0.25399007401853835,-0.25399007401853835,-0.25399007401853835,0.0,0.0,0.0,28107.108363496103,historical
2014-05-01,38233.25646059478,18031.632835854867,37440.406431533636,38233.25646059478,38233.25646059478,-0.2659437874470547,-0.2659437874470547,-0.2659437874470547,-0.2659437874470547,-0.2659437874470547,-0.2659437874470547,0.0,0.0,0.0,28065.35943102963,historical
2014-06-01,38808.480899017515,19276.665700933358,39680.09903535445,38808.480899017515,38808.480899017515,-0.2420873264816057,-0.2420873264816057,-0.2420873264816057,-0.2420873264816057,-0.2420873264816057,-0.2420873264816057,0.0,0.0,0.0,29413.439513361904,historical
2014-07-01,39365.14971039436,19894.917172822974,39316.179715314895,39365.14971039436,39365.14971039436,-0.25781159915704044,-0.25781159915704044,-0.25781159915704044,-0.25781159915704044,-0.25781159915704044,-0.25781159915704044,0.0,0.0,0.0,29216.357512501283,historical
2014-08-01,39940.374149704774,24319.488867426557,43505.990134185944,39940.374149704774,39940.374149704774,-0.1496329828151255,-0.1496329828151255,-0.1496329828151255,-0.1496329828151255,-0.1496329828151255,-0.1496329828151255,0.0,0.0,0.0,33963.97683093232,historical
2014-09-01,40515.598588142486,52974.7567434989,72790.00282461723,40515.598588142486,40515.598588142486,0.5507379246129938,0.5507379246129938,0.5507379246129938,0.5507379246129938,0.5507379246129938,0.5507379246129938,0.0,0.0,0.0,62829.07526902922,historical
2014-10-01,41072.26739953382,27567.302800755562,46689.083791075696,41072.26739953382,41072.26739953382,-0.09338940103429788,-0.09338940103429788,-0.09338940103429788,-0.09338940103429788,-0.09338940103429788,-0.09338940103429788,0.0,0.0,0.0,37236.552947970835,historical
2014-11-01,41647.49184020502,63140.013790344434,82552.00596713075,41647.49184020502,41647.49184020502,0.744543369064282,0.744543369064282,0.744543369064282,0.744543369064282,0.744543369064282,0.744543369064282,0.0,0.0,0.0,72655.85572798846,historical
2014-12-01,42204.160655801796,54887.07189114338,74029.34026651357,42204.160655801796,42204.160655801796,0.5310349722391352,0.5310349722391352,0.5310349722391352,0.5310349722391352,0.5310349722391352,0.5310349722391352,0.0,0.0,0.0,64616.04593803151,historical
2015-01-01,42779.38509858514,10922.016939290545,29860.814736339093,42779.38509858514,42779.38509858514,-0.527568678191696,-0.527568678191696,-0.527568678191696,-0.527568678191696,-0.527568678191696,-0.527568678191696,0.0,0.0,0.0,20210.321448271043,historical
2015-02-01,43354.6111366962,5787.129922181232,25266.309263095438,43354.6111366962,43354.6111366962,-0.6303863798045263,-0.6303863798045263,-0.6303863798045263,-0.6303863798045263,-0.6303863798045263,-0.6303863798045263,0.0,0.0,0.0,16024.454774401285,historical
2015-03-01,43874.40513952143,40165.63925876498,59627.222660936364,43874.40513952143,43874.40513952143,0.13273346010519027,0.13273346010519027,0.13273346010519027,0.13273346010519027,0.13273346010519027,0.13273346010519027,0.0,0.0,0.0,49698.00674374706,historical
2015-04-01,44449.89135693509,25426.991131560724,45080.57738695323,44449.89135693509,44449.89135693509,-0.20875365028652926,-0.20875365028652926,-0.20875365028652926,-0.20875365028652926,-0.20875365028652926,-0.20875365028652926,0.0,0.0,0.0,35170.814281335246,historical
2015-05-01,45006.87694672792,18834.441664790138,38535.72067956652,45006.87694672792,45006.87694672792,-0.37638844514426706,-0.37638844514426706,-0.37638844514426706,-0.37638844514426706,-0.37638844514426706,-0.37638844514426706,0.0,0.0,0.0,28066.80851194964,historical
2015-06-01,45582.94060905836,22715.866049905053,42596.504597514075,45582.94060905836,45582.94060905836,-0.27561604753110114,-0.27561604753110114,-0.27561604753110114,-0.27561604753110114,-0.27561604753110114,-0.27561604753110114,0.0,0.0,0.0,33019.55068354477,historical
2015-07-01,46140.421572603926,24972.49007398103,45069.5307891345,46140.421572603926,46140.421572603926,-0.24954784080845172,-0.24954784080845172,-0.24954784080845172,-0.24954784080845172,-0.24954784080845172,-0.24954784080845172,0.0,0.0,0.0,34626.17899516891,historical
2015-08-01,46718.33929439462,33081.300909980615,53147.116847717494,46718.33929439462,46718.33929439462,-0.08531659504262712,-0.08531659504262712,-0.08531659504262712,-0.08531659504262712,-0.08531659504262712,-0.08531659504262712,0.0,0.0,0.0,42732.489659750696,historical
2015-09-01,47298.63416728686,68252.96460757307,87042.02787168357,47298.63416728686,47298.63416728686,0.6360914038416468,0.6360914038416468,0.6360914038416468,0.6360914038416468,0.6360914038416468,0.6360914038416468,0.0,0.0,0.0,77384.88877454883,historical
2015-10-01,47860.209850730964,26525.44813149372,45920.539909507504,47860.209850730964,47860.209850730964,-0.23705906528429,-0.23705906528429,-0.23705906528429,-0.23705906528429,-0.23705906528429,-0.23705906528429,0.0,0.0,0.0,36514.51323920671,historical
2015-11-01,48445.414961178605,77602.22867152025,97202.8222992901,48445.414961178605,48445.414961178605,0.8147742245894469,0.8147742245894469,0.8147742245894469,0.8147742245894469,0.8147742245894469,0.8147742245894469,0.0,0.0,0.0,87917.4903710869,historical
2015-12-01,49015.42352128878,64361.24374738735,84525.33027261948,49015.42352128878,49015.42352128878,0.5237312069980892,0.5237312069980892,0.5237312069980892,0.5237312069980892,0.5237312069980892,0.5237312069980892,0.0,0.0,0.0,74686.33044361588,historical
2016-01-01,49604.43236673596,7926.004147328229,27271.09767230012,49604.43236673596,49604.43236673596,-0.6284837590970309,-0.6284837590970309,-0.6284837590970309,-0.6284837590970309,-0.6284837590970309,-0.6284837590970309,0.0,0.0,0.0,18428.852245015314,historical
2016-02-01,50195.09646665121,11809.816796690282,32036.43642142938,50195.09646665121,50195.09646665121,-0.5630017080936512,-0.5630017080936512,-0.5630017080936512,-0.5630017080936512,-0.5630017080936512,-0.5630017080936512,0.0,0.0,0.0,21935.17141800098,historical
2016-03-01,50748.74489656396,40528.39976136064,61100.302014758454,50748.74489656396,50748.74489656396,0.00981668735868546,0.00981668735868546,0.00981668735868546,0.00981668735868546,0.00981668735868546,0.00981668735868546,0.0,0.0,0.0,51246.92945905921,historical
