ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,forecast_type
2018-01-01,63606.91552945944,26379.709559123046,47081.93054427072,63606.536618700775,63607.27296043615,-0.42511365610026086,-0.42511365610026086,-0.42511365610026086,-0.42511365610026086,-0.42511365610026086,-0.42511365610026086,0.0,0.0,0.0,36566.747115470476,future
2018-02-01,64201.482586615195,10364.221588204535,30075.44877410844,64200.226528986685,64202.67567731873,-0.6952675079183386,-0.6952675079183386,-0.6952675079183386,-0.6952675079183386,-0.6952675079183386,-0.6952675079183386,0.0,0.0,0.0,19564.277783956637,future
2018-03-01,64738.510896304244,60777.58821230061,79978.48807260273,64735.83289689632,64740.957218938245,0.09268309281019425,0.09268309281019425,0.09268309281019425,0.09268309281019425,0.09268309281019425,0.09268309281019425,0.0,0.0,0.0,70738.67631010019,future
2018-04-01,65333.077953459986,39102.448833892464,58754.821888683546,65328.66705652758,65337.01133612967,-0.25399007401788953,-0.25399007401788953,-0.25399007401788953,-0.25399007401788953,-0.25399007401788953,-0.25399007401788953,0.0,0.0,0.0,48739.124648244135,future
2018-05-01,65908.46542812684,39062.159824836766,58671.794540447525,65902.34324556132,65914.3462992079,-0.26594378744750535,-0.26594378744750535,-0.26594378744750535,-0.26594378744750535,-0.26594378744750535,-0.26594378744750535,0.0,0.0,0.0,48380.51850731782,future
2018-06-01,66503.03248528259,40552.81346894603,60531.16968299547,66494.95755204737,66510.83001518162,-0.24208732648194897,-0.24208732648194897,-0.24208732648194897,-0.24208732648194897,-0.24208732648194897,-0.24208732648194897,0.0,0.0,0.0,50403.491147978326,future
2018-07-01,67078.41995994945,39729.21663679901,59460.12056808111,67068.38163674089,67088.71255055457,-0.25781159915745944,-0.25781159915745944,-0.25781159915745944,-0.25781159915745944,-0.25781159915745944,-0.25781159915745944,0.0,0.0,0.0,49784.82524111923,future
2018-08-01,67672.98701710517,48231.87163913561,67635.91246346291,67660.93568591772,67685.94897769109,-0.1496329828151831,-0.1496329828151831,-0.1496329828151831,-0.1496329828151831,-0.1496329828151831,-0.1496329828151831,0.0,0.0,0.0,57546.87611372257,future
2018-09-01,68267.55407426093,96403.67098608061,115670.86491950112,68252.80331461308,68283.12873580962,0.5507379246132911,0.5507379246132911,0.5507379246132911,0.5507379246132911,0.5507379246132911,0.5507379246132911,0.0,0.0,0.0,105865.08512354502,future
2018-10-01,68842.94154892777,52477.85955900147,72052.18349362192,68825.05735159427,68860.7270348203,-0.09338940103465598,-0.09338940103465598,-0.09338940103465598,-0.09338940103465598,-0.09338940103465598,-0.09338940103465598,0.0,0.0,0.0,62413.740472209574,future
2018-11-01,69437.50860608352,111698.04751405069,130671.50015428662,69416.82841008242,69458.56966230698,0.7445433690645793,0.7445433690645793,0.7445433690645793,0.7445433690645793,0.7445433690645793,0.7445433690645793,0.0,0.0,0.0,121136.74520310765,future
2018-12-01,70012.89608075038,97549.28196969234,116814.00987782478,69989.91895538793,70037.12025824303,0.5310349722393592,0.5310349722393592,0.5310349722393592,0.5310349722393592,0.5310349722393592,0.5310349722393592,0.0,0.0,0.0,107192.1924073888,future
