Product Name,Sales,Cumulative,Class
Canon imageCLASS 2200 Advanced Copier,61599.824,0.026815166694633505,A
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,0.03876596493541718,A
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,0.048620775801648336,A
HON 5400 Series Task Chairs for Big and Tall,21870.576,0.05814130854128167,A
GBC DocuBind TL300 Electric Binding System,19823.479,0.06677071459043801,A
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,0.0750523151804341,A
Hewlett Packard LaserJet 3310 Copier,18839.686,0.08325346394612787,A
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,0.09125228343011516,A
GBC DocuBind P400 Electric Binding System,17965.068,0.09907270014267631,A
High Speed Automatic Electric Letter Opener,17030.311999999998,0.10648620598551148,A
Lexmark MX611dhe Monochrome Laser Printer,16829.901,0.1138124704366758,A
Martin Yale Chadless Opener Electric Letter Opener,16656.2,0.12106312069014331,A
Ibico EPK-21 Electric Binding System,15875.916000000001,0.12797410364960762,A
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,0.13476975041684822,A
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,0.14099466972935992,A
Samsung Galaxy Mega 6.3,13943.668,0.14706452119118596,A
Apple iPhone 5,12996.600000000002,0.1527221022171232,A
Bretford Rectangular Conference Table Tops,12995.2915,0.15837911363679633,A
Global Troy Executive Leather Low-Back Tilter,12975.382,0.16402745820441306,A
Canon PC1060 Personal Laser Copier,11619.833999999999,0.16908571593050606,A
SAFCO Arco Folding Chair,11572.78,0.1741234904673346,A
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,0.17904445327705762,A
Cubify CubeX 3D Printer Double Head Print,11099.963,0.18387640471492642,A
DMI Eclipse Executive Suite Bookcases,11046.609,0.18868513049546498,A
Tennsco 6- and 18-Compartment Lockers,10925.003999999999,0.1934409201126486,A
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,0.19815202752473038,A
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,0.20278267527688681,A
Logitech P710e Mobile Speakerphone,10196.604,0.20722138334818205,A
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,0.21153865493352564,A
Tennsco Double-Tier Lockers,9630.856,0.21573108589001685,A
Bush Advantage Collection Racetrack Conference Table,9544.725,0.2198860229549253,A
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,0.22396372036566745,A
Bady BDG101FRU Card Printer,9279.884,0.2280033688615278,A
Tennsco Single-Tier Lockers,9158.296,0.23199008859434384,A
GuestStacker Chair with Chrome Finish Legs,9070.944,0.23593878291914722,A
Canon Imageclass D680 Copier / Fax,8959.872,0.2398391262260141,A
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,0.24371332902377807,A
Wilson Electronics DB Pro Signal Booster,8878.4,0.24757820655949367,A
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,0.2513978551377438,A
Global Deluxe High-Back Manager's Chair,8665.194,0.25516992145974077,A
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,0.25884003892561136,A
Chromcraft Round Conference Tables,8209.059,0.2624135440299617,A
"Hot File 7-Pocket, Floor Stand",8138.232,0.26595621726356705,A
Fellowes PB300 Plastic Comb Binding Machine,8070.192,0.2694692718420622,A
Cubify CubeX 3D Printer Triple Head Print,7999.98,0.27295176226693313,A
Ibico Ibimaster 300 Manual Binding System,7985.383,0.27642789843682697,A
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,0.2799014475451787,A
Okidata MB760 Printer,7834.4,0.28331185894428335,A
Adjustable Depth Letter/Legal Cart,7730.196,0.28667690905095555,A
Ativa V4110MDD Micro-Cut Shredder,7699.89,0.2900287665802943,A
Mitel MiVoice 5330e IP Phone,7699.72,0.29338055010652647,A
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,0.2966812514648786,A
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,0.2999633816130518,A
Tennsco 16-Compartment Lockers with Coat Rack,7515.523999999999,0.3032349823380395,A
Hon 94000 Series Round Tables,7404.5,0.30645825294008566,A
Logitech diNovo Edge Keyboard,7399.704,0.30967943578390267,A
Bretford CR4500 Series Slim Rectangular Table,7242.768,0.3128323024422645,A
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.796,0.31594034411306016,A
Zebra ZM400 Thermal Label Printer,6965.700000000001,0.31897259963776436,A
"Bevis Oval Conference Table, Walnut",6942.068,0.3219945678600353,A
Hon GuestStacker Chair,6936.102,0.3250139390085791,A
Hoover Upright Vacuum With Dirt Cup,6832.908,0.32798838853020595,A
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.312,0.3309569195445594,A
GBC DocuBind 300 Electric Binding Machine,6785.142,0.3339105759344991,A
Bretford CR8500 Series Meeting Room Furniture,6776.562000000001,0.33686049734412066,A
Cisco Unified IP Phone 7945G VoIP phone,6751.602,0.33979955335645307,A
Hon Every-Day Series Multi-Task Chairs,6748.482,0.34273725119412435,A
ClearOne CHATAttach 160 - speaker phone,6695.892,0.3456520559531325,A
Standard Rollaway File with Lock,6594.954,0.3485229211499785,A
Hon Multipurpose Stacking Arm Chairs,6584.64,0.35138929653481976,A
"Dual Level, Single-Width Filing Carts",6574.544,0.3542512770057575,A
Balt Solid Wood Round Tables,6518.754,0.3570889713983796,A
Hon Pagoda Stacking Chairs,6483.796,0.3599114481404235,A
"Global Leather and Oak Executive Chair, Black",6410.874,0.3627021810322624,A
Sharp AL-1530CS Digital Copier,6399.872,0.36548812461717134,A
Polycom VVX 310 VoIP phone,6227.654,0.36819909957265984,A
Samsung Galaxy S4,6134.701999999999,0.3708696113707439,A
Samsung Galaxy S4 Mini,6109.87,0.37352931349152496,A
Global Comet Stacking Arm Chair,6084.144,0.37617781676572515,A
Global Ergonomic Managers Chair,6008.536,0.3787934069406371,A
Canon PC1080F Personal Copier,5999.9,0.38140523775773705,A
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204,0.38401241247349865,A
Hon 5100 Series Wood Tables,5965.09,0.38660909006625427,A
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,0.38918027141224626,A
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.032,0.3917512403257912,A
Global Leather Executive Chair,5861.532999999999,0.3943028382732317,A
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816,0.39682844067059553,A
Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.355,0.3993477480154675,A
Iceberg Mobile Mega Data/Printer Cart ,5751.774,0.4018515665101414,A
Safco Contoured Stacking Chairs,5697.76,0.40433187204130683,A
Canon PC940 Copier,5669.874,0.4068000384511259,A
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9,0.40925298024536855,A
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,0.411695008757959,A
Deluxe Rollaway Locking File with Drawer,5572.792,0.41412091417019725,A
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,0.41651203507517665,A
"Global High-Back Leather Tilter, Burgundy",5436.158,0.4188784620141297,A
Hon Olson Stacker Chairs,5427.99,0.42124133332146985,A
Ibico Hi-Tech Manual Binding System,5398.323,0.42359129021609465,A
Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,0.4259103125062501,A
Hon Olson Stacker Stools,5294.456,0.4282150548087184,A
GE 30524EE4,5291.7300000000005,0.43051861044960776,A
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.424,0.43281811507338286,A
"Lifetime Advantage Folding Chairs, 4/Carton",5212.112,0.43508701201229455,A
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,0.43734370670956324,A
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.744000000001,0.439572394713507,A
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176,0.4417916938997933,A
Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,0.44397238261821287,A
Panasonic KX-TG9471B,4978.146000000001,0.44613943125816063,A
Chromcraft Rectangular Conference Tables,4952.673,0.44829539118556255,A
Apple iPhone 5S,4901.914000000001,0.4504292550912899,A
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,0.4525563916793207,A
Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.838,0.4546719393808679,A
Fellowes Staxonsteel Drawer Files,4829.25,0.45677417174698737,A
Smead Adjustable Mobile File Trolley with Lockable Top,4778.766,0.45885442780233987,A
High-Back Leather Manager's Chair,4770.633,0.46093114346201314,A
SAFCO Boltless Steel Shelving,4704.696,0.4629791559285354,A
Global Executive Mid-Back Manager's Chair,4626.582,0.46499316440291655,A
DMI Arturo Collection Mission-style Design Wood Chair,4619.987999999999,0.4670043024273889,A
Polycom CX600 IP Phone VoIP phone,4619.2300000000005,0.4690151104850686,A
Letter Size Cart,4600.092,0.47101758753420186,A
KI Adjustable-Height Table,4552.641,0.47299940857505135,A
"Bevis Round Bullnose 29"" High Table Top",4544.925,0.47497787074548886,A
Fellowes Officeware Wire Shelving,4509.466,0.4769408971738401,A
Samsung Galaxy Note 2,4507.902,0.4789032427736111,A
"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,0.480853020034018,A
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,0.48280189619777464,A
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.175,0.4847373712695624,A
Nortel Meridian M3904 Professional Digital phone,4434.912,0.48666794341788594,A
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.056,0.488592048565323,A
Sharp 1540cs Digital Laser Copier,4399.92,0.49050738826244694,A
Logitech G19 Programmable Gaming Keyboard,4389.246,0.4924180814351053,A
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.044,0.49432651011270357,A
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.8275,0.496213514237991,A
Bevis 36 x 72 Conference Tables,4332.252,0.4980993972162145,A
GBC DocuBind TL200 Manual Binding Machine,4322.814,0.49998117171608797,A
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644,0.5018519894030702,A
Cisco 9971 IP Video Phone Charcoal,4268.0,0.5037099026895221,A
Motorola L703CM,4211.73,0.5055433209477104,A
GBC DocuBind 200 Manual Binding Machine,4209.799999999999,0.5073758990529834,A
Hewlett Packard 310 Color Digital Copier,4199.86,0.509204150153086,A
"SAFCO Commercial Wire Shelving, Black",4199.456,0.5110322253869825,A
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,0.5128542166948968,A
Fellowes PB200 Plastic Comb Binding Machine,4181.754,0.5146745860288409,A
Cisco SPA301,4180.532,0.5164944234110426,A
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884,0.5183083196497267,A
Canon PC-428 Personal Copier,4119.794,0.5201017170279002,A
Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.3860000000004,0.5218622883692637,A
Fellowes Super Stor/Drawer Files,4006.44,0.5236063413466236,A
Samsung Galaxy S4 Active,3999.92,0.5253475560871917,A
WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,0.5270881091529248,A
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,0.5288258675131052,A
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.734,0.5305626481616545,A
Polycom SoundStation2 EX Conference phone,3968.5099999999998,0.5322901897400091,A
Hon Racetrack Conference Tables,3963.901,0.5340157249635517,A
Canon Image Class D660 Copier,3959.9339999999997,0.5357395333028376,A
"Global Airflow Leather Mesh Back Chair, Black",3955.676,0.537461488081961,A
Fellowes High-Stak Drawer Files,3946.656,0.5391795163433141,A
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.056,0.5408602818639642,A
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.1800000000003,0.5425384894890025,A
Polycom SoundPoint IP 450 VoIP phone,3839.62,0.5442099236532308,A
Google Nexus 5,3815.788,0.5458709834525475,A
Hon Non-Folding Utility Tables,3775.647,0.5475145693771614,A
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.7920000000004,0.5491442884255475,A
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.115,0.5507719715178792,A
Aastra 57i VoIP phone,3684.708,0.5523759705689325,A
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.538,0.5539781543673137,A
Polycom VoiceStation 500 Conference phone,3657.38,0.555570257201335,A
"Situations Contoured Folding Chairs, 4/Set",3641.274,0.5571553488939807,A
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,0.5587337940629096,A
Toshiba IPT2010-SD IP Telephone,3613.74,0.5603068998641707,A
"Bush Cubix Conference Tables, Fully Assembled",3603.288,0.5618754557803171,A
Pyle PMP37LED,3590.026,0.5634382385835288,A
Global Adaptabilities Conference Tables,3540.348,0.564979395937761,A
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,0.5665192003410808,A
Global Comet Stacking Armless Chair,3528.79,0.5680553263546935,A
Avanti 4.4 Cu. Ft. Refrigerator,3511.012,0.5695837133846119,A
Hon Rectangular Conference Tables,3481.515,0.5710992600049215,A
"Iceberg OfficeWorks 42"" Round Tables",3457.442,0.5726043273500332,A
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,0.5741052148255628,A
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,0.5755943185687824,A
Geemarc AmpliPOWER60,3415.04,0.5770809277978743,A
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,0.5785629488343611,A
Bush Advantage Collection Round Conference Table,3401.6000000000004,0.5800437074649128,A
Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.308,0.5815225977346807,A
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,0.5829830229234305,A
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.878,0.5844295128919073,A
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,0.5858737590426626,A
Tenex Antistatic Computer Chair Mats,3317.0119999999997,0.5873176954686514,A
Bevis 44 x 96 Conference Tables,3253.2200000000003,0.5887338624465687,A
Ibico EB-19 Dual Function Manual Binding System,3234.913,0.5901420601605367,A
GBC ProClick 150 Presentation Binding System,3222.996,0.5915450702567366,A
Okidata C331dn Printer,3210.8,0.5929427712830112,A
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,0.5943262506534589,A
Jabra SPEAK 410,3158.064,0.5957009950454611,A
"Global Fabric Manager's Chair, Dark Gray",3150.576,0.5970724798182765,A
Hon 2111 Invitation Series Corner Table,3140.55,0.598439600149056,A
