Feature,Importance
num__Sales,0.12956183909594268
num__Unit Price,0.0698507689149446
num__Average Price,0.06825654888030352
num__Row ID,0.05427412628853429
num__Customer Sales,0.0456025619398114
num__Product Sales,0.04211472803301487
num__Postal Code,0.03607730099888568
num__Day,0.035253801834173176
num__Customer Orders,0.031001631117591105
num__Profit,0.030416473878398347
num__Week,0.03013219763747599
num__Profit Margin,0.021090320083810215
num__Discount Amount,0.02098342083551041
num__Weekday,0.01706797576629982
num__Year,0.012194890134747128
num__Month,0.00995419315277335
cat__Customer ID_DJ-13630,0.005525938776621648
num__Region Sales,0.004643648596684755
cat__Ship Mode_Standard Class,0.0042829201850732345
cat__Segment_Consumer,0.004063403271347992
